Ticker
VRSK UW Equity
VZ UN Equity
RCL UN Equity
JPM UN Equity
LII UN Equity
KO UN Equity
DIS UN Equity
IBM UN Equity
JNJ UN Equity
LPLA UW Equity
MCD UN Equity
MRK UN Equity
BAC UN Equity
PFE UN Equity
T UN Equity
DDOG UW Equity
PODD UW Equity
MSFT UW Equity
C UN Equity
GNRC UN Equity
WLK UN Equity
CSL UN Equity
ABT UN Equity
APD UN Equity
AM UN Equity
CHE UN Equity
RNG UN Equity
HES UN Equity
CW UN Equity
ADP UW Equity
AVY UN Equity
PAYC UN Equity
HPP UN Equity
BALL UN Equity
KEYS UN Equity
GGG UN Equity
BK UN Equity
BAX UN Equity
HE UN Equity
BDX UN Equity
EHAB UN Equity
BRK/B UN Equity
HUBB UN Equity
IDA UN Equity
IT UN Equity
BSX UN Equity
IEX UN Equity
BMY UN Equity
BF/B UN Equity
CTRA UN Equity
CPB UN Equity
LUMN UN Equity
CLF UN Equity
CLX UN Equity
CMS UN Equity
NFG UN Equity
CL UN Equity
BAH UN Equity
CMA UN Equity
AL UN Equity
OGE UN Equity
CAG UN Equity
BSY UW Equity
ED UN Equity
AFG UN Equity
CMI UN Equity
DHR UN Equity
TGT UN Equity
RJF UN Equity
D UN Equity
ROL UN Equity
DUK UN Equity
ETN UN Equity
VOYA UN Equity
ECL UN Equity
RVTY UN Equity
EOG UN Equity
ETR UN Equity
EFX UN Equity
EQT UN Equity
PK UN Equity
WBA UW Equity
DNA UN Equity
TTC UN Equity
UGI UN Equity
M UN Equity
FMC UN Equity
F UN Equity
BEN UN Equity
FCX UN Equity
GD UN Equity
WST UN Equity
GPC UN Equity
HAL UN Equity
HOG UN Equity
NCLH UN Equity
KNX UN Equity
SON UN Equity
CXT UN Equity
HSY UN Equity
HRL UN Equity
CNP UN Equity
LECO UW Equity
HUM UN Equity
IFF UN Equity
KMB UN Equity
KIM UN Equity
KR UN Equity
BIO UN Equity
LEG UN Equity
LEN UN Equity
LLY UN Equity
BBWI UN Equity
LNC UN Equity
WRB UN Equity
CASY UW Equity
MAS UN Equity
MAT UW Equity
MDT UN Equity
CGNX UW Equity
MSI UN Equity
CLH UN Equity
THC UN Equity
NEM UN Equity
NI UN Equity
ELS UN Equity
MTZ UN Equity
ES UN Equity
OKE UN Equity
UWMC UN Equity
FHB UW Equity
WEN UW Equity
EGP UN Equity
PH UN Equity
PPL UN Equity
PNW UN Equity
PPG UN Equity
PGR UN Equity
PEG UN Equity
GNTX UW Equity
EIX UN Equity
SLB UN Equity
SCHW UN Equity
SHW UN Equity
SJM UN Equity
SNA UN Equity
FYBR UW Equity
TFC UN Equity
LUV UN Equity
FND UN Equity
AZPN UW Equity
SWK UN Equity
ICUI UW Equity
PSA UN Equity
SYY UN Equity
TMO UN Equity
DAY UN Equity
GL UN Equity
BF/A UN Equity
KEX UN Equity
UNH UN Equity
ERIE UW Equity
VTR UN Equity
VFC UN Equity
INCY UW Equity
VNO UN Equity
VMC UN Equity
WHR UN Equity
WMB UN Equity
MSA UN Equity
WEC UN Equity
AES UN Equity
AMGN UW Equity
ADSK UW Equity
CTAS UW Equity
TAP UN Equity
MKC UN Equity
JWN UN Equity
XPO UN Equity
TDOC UN Equity
COST UW Equity
LEN/B UN Equity
SYK UN Equity
CUZ UN Equity
CNA UN Equity
CDNS UW Equity
PACW UW Equity
FLS UN Equity
TYL UN Equity
AMC UN Equity
REGN UW Equity
AGCO UN Equity
FAST UW Equity
SUI UN Equity
ATVI UW Equity
FITB UW Equity
HEI/A UN Equity
RPM UN Equity
JKHY UW Equity
FHN UN Equity
GILD UW Equity
HAS UW Equity
HBAN UW Equity
SMG UN Equity
RGLD UW Equity
SNPS UW Equity
NTRS UW Equity
PAYX UW Equity
HSIC UW Equity
ANSS UW Equity
FDS UN Equity
QCOM UW Equity
ROP UN Equity
GO UW Equity
SBUX UW Equity
KEY UN Equity
MKTX UW Equity
JLL UN Equity
SBAC UW Equity
ON UW Equity
STZ UN Equity
TFX UN Equity
CRL UN Equity
XRAY UW Equity
BWXT UN Equity
IVZ UN Equity
INTU UW Equity
CB UN Equity
KMPR UN Equity
VMI UN Equity
EQR UN Equity
CE UN Equity
TER UW Equity
AAL UW Equity
SPG UN Equity
HII UN Equity
AVB UN Equity
UPS UN Equity
WSO UN Equity
ZBRA UW Equity
PEP UW Equity
COF UN Equity
OHI UN Equity
LFUS UW Equity
DRI UN Equity
CFR UN Equity
VNT UN Equity
PB UN Equity
IRM UN Equity
RGA UN Equity
EL UN Equity
SRCL UW Equity
NOV UN Equity
AMT UN Equity
AMZN UW Equity
BXP UN Equity
APH UN Equity
PXD UN Equity
ZI UW Equity
COO UN Equity
ACN UN Equity
MAA UN Equity
PLD UN Equity
FE UN Equity
PWR UN Equity
GLPI UW Equity
NVT UN Equity
AEE UN Equity
ATR UN Equity
RMD UN Equity
SEE UN Equity
ALB UN Equity
BMRN UW Equity
WAL UN Equity
RSG UN Equity
DAR UN Equity
TPL UN Equity
SRE UN Equity
MCO UN Equity
CEG UW Equity
FFIV UW Equity
HIW UN Equity
GOOGL UW Equity
NFLX UW Equity
ELV UN Equity
CME UW Equity
JNPR UN Equity
DTE UN Equity
NDAQ UW Equity
RARE UW Equity
PM UN Equity
CRM UN Equity
NATI UW Equity
EW UN Equity
BJ UN Equity
IART UW Equity
ZBH UN Equity
WAB UN Equity
LSI UN Equity
CACI UN Equity
GME UN Equity
ICE UN Equity
WYNN UW Equity
OGN UN Equity
AIZ UN Equity
THG UN Equity
RF UN Equity
TDC UN Equity
LDOS UN Equity
FSLR UW Equity
MASI UW Equity
TRIP UW Equity
EXE UW Equity
WTFC UW Equity
CHD UN Equity
LNT UW Equity
CG UW Equity
FRT UN Equity
LAD UN Equity
MDU UN Equity
AXTA UN Equity
HXL UN Equity
ALLE UN Equity
CUBE UN Equity
KRC UN Equity
ATUS UN Equity
PARA UW Equity
NWL UW Equity
MHK UN Equity
OZK UW Equity
PNR UN Equity
PARAA UW Equity
SEIC UW Equity
VRTX UW Equity
EPR UN Equity
VRT UN Equity
WBD UW Equity
QGEN UN Equity
URI UN Equity
MKSI UW Equity
INGR UN Equity
KKR UN Equity
STWD UN Equity
JBLU UW Equity
SKX UN Equity
SHC UW Equity
APP UW Equity
CERT UW Equity
EWBC UW Equity
DAL UN Equity
9210611D UW Equity
MLM UN Equity
RYN UN Equity
UAL UW Equity
GFS UW Equity
SCCO UN Equity
ACM UN Equity
APTV UN Equity
GRMN UN Equity
UTHR UW Equity
ACGL UW Equity
DISH UW Equity
TDY UN Equity
IR UN Equity
KHC UW Equity
ABBV UN Equity
RKT UN Equity
PNFP UW Equity
CVNA UN Equity
FR UN Equity
CCI UN Equity
ALGN UW Equity
LNG UA Equity
ILMN UW Equity
YETI UN Equity
AXS UN Equity
MOH UN Equity
LVS UN Equity
VTRS UW Equity
OLLI UQ Equity
LYB UN Equity
VEEV UN Equity
LW UN Equity
AVGO UW Equity
EXR UN Equity
MPW UN Equity
LULU UW Equity
KMI UN Equity
UAA UN Equity
CZR UW Equity
IBKR UW Equity
SIX UN Equity
FAF UN Equity
TFSL UW Equity
WTRG UN Equity
PEGA UW Equity
FCN UN Equity
CFLT UW Equity
AMBP UN Equity
LAMR UW Equity
SLG UN Equity
AGR UN Equity
WRK UN Equity
UPST UW Equity
ALGM UW Equity
JBGS UN Equity
OSK UN Equity
BRO UN Equity
TNDM UQ Equity
CBOE UF Equity
HHH UN Equity
HBI UN Equity
BR UN Equity
TXG UW Equity
NVST UN Equity
ENPH UQ Equity
AJG UN Equity
XEL UW Equity
INVH UN Equity
FRPT UQ Equity
HST UW Equity
2505298D UW Equity
HON UW Equity
KDP UW Equity
ANET UN Equity
ELAN UN Equity
EVVAQ UN Equity
AME UN Equity
CFG UN Equity
AMD UW Equity
DASH UN Equity
OLED UW Equity
MTN UN Equity
SNDR UN Equity
GPK UN Equity
REYN UW Equity
SPB UN Equity
NCNO UW Equity
TDG UN Equity
HEI UN Equity
EEFT UW Equity
SRPT UW Equity
COLM UW Equity
GXO UN Equity
COLD UN Equity
NSA UN Equity
AVTR UN Equity
AMED UW Equity
IONS UW Equity
WCC UN Equity
RGEN UW Equity
AEP UW Equity
GDDY UN Equity
MRVL UW Equity
FTNT UW Equity
LSCC UW Equity
FIVE UW Equity
PFGC UN Equity
MIDD UW Equity
DEI UN Equity
SPR UN Equity
ACHC UW Equity
HR UN Equity
CPT UN Equity
TREX UN Equity
TKO UN Equity
JHG UN Equity
SPOT UN Equity
TRU UN Equity
ITT UN Equity
ENOV UN Equity
DNB UN Equity
GLOB UN Equity
STE UN Equity
OLPX UW Equity
2297249D UW Equity
BEPC UN Equity
2297268D UW Equity
2297264D UW Equity
2297267D UW Equity
MORN UW Equity
DTM UN Equity
SLGN UN Equity
ADT UN Equity
ASH UN Equity
EVR UN Equity
SEB UA Equity
ZTS UN Equity
PEN UN Equity
SITE UN Equity
DOCU UW Equity
PINC UW Equity
RIVN UW Equity
SNV UN Equity
CDW UW Equity
PLUG UR Equity
REG UW Equity
DXC UN Equity
IQV UN Equity
ESTC UN Equity
EPAM UN Equity
MSM UN Equity
PRGO UN Equity
TRGP UN Equity
ENTG UW Equity
BRX UN Equity
TTD UQ Equity
NVCR UW Equity
MRVI UW Equity
FOUR UN Equity
MP UN Equity
EXAS UR Equity
CLVT UN Equity
DECK UN Equity
WOOF UW Equity
FLO UN Equity
SGEN UW Equity
AXON UW Equity
BFAM UN Equity
SAM UN Equity
EHC UN Equity
EXC UW Equity
BKI UN Equity
TW UW Equity
AA UN Equity
PFG UW Equity
AXP UN Equity
BA UN Equity
DOW UN Equity
SWCH UN Equity
CAT UN Equity
CVX UN Equity
ROKU UW Equity
PSX UN Equity
XOM UN Equity
GE UN Equity
HPQ UN Equity
HD UN Equity
DXCM UW Equity
MMM UN Equity
RITM UN Equity
PG UN Equity
TRV UN Equity
TKR UN Equity
RTX UN Equity
